Metric,Value,System
rho,0.03315,Symbolic
roa_fraction,0.2323,Symbolic
decreasing_fraction,0.3145,Symbolic
roa_decreasing_fraction,0.2323,Symbolic
fraction_roa_decreasing_violation,0,Symbolic
rho,0.023546,Symbolic
roa_fraction,0.1279,Symbolic
decreasing_fraction,0.4635,Symbolic
roa_decreasing_fraction,0.1189,Symbolic
fraction_roa_decreasing_violation,0.0708,Symbolic
rho,0.022742,Symbolic
roa_fraction,0.2365,Symbolic
decreasing_fraction,0.3351,Symbolic
roa_decreasing_fraction,0.2363,Symbolic
fraction_roa_decreasing_violation,6.45E-04,Symbolic
rho,0.038637,Symbolic
roa_fraction,0.146,Symbolic
decreasing_fraction,0.432,Symbolic
roa_decreasing_fraction,0.1387,Symbolic
fraction_roa_decreasing_violation,0.05007,Symbolic
rho,0.011424,Symbolic
roa_fraction,0.107,Symbolic
decreasing_fraction,0.4929,Symbolic
roa_decreasing_fraction,0.094,Symbolic
fraction_roa_decreasing_violation,0.1212,Symbolic
rho,0.009975,Hard-Coded
roa_fraction,0.1672,Hard-Coded
decreasing_fraction,0.4887,Hard-Coded
roa_decreasing_fraction,0.1672,Hard-Coded
fraction_roa_decreasing_violation,0,Hard-Coded
rho,0.010473,Hard-Coded
roa_fraction,0.1602,Hard-Coded
decreasing_fraction,0.484,Hard-Coded
roa_decreasing_fraction,0.1602,Hard-Coded
fraction_roa_decreasing_violation,0,Hard-Coded
rho,0.022596,Hard-Coded
roa_fraction,0.2264,Hard-Coded
decreasing_fraction,0.4076,Hard-Coded
roa_decreasing_fraction,0.2264,Hard-Coded
fraction_roa_decreasing_violation,0,Hard-Coded
rho,0.014156,Hard-Coded
roa_fraction,0.1869,Hard-Coded
decreasing_fraction,0.4171,Hard-Coded
roa_decreasing_fraction,0.1869,Hard-Coded
fraction_roa_decreasing_violation,0,Hard-Coded
rho,0.025067,Hard-Coded
roa_fraction,0.1892,Hard-Coded
decreasing_fraction,0.303,Hard-Coded
roa_decreasing_fraction,0.1891,Hard-Coded
fraction_roa_decreasing_violation,1.61E-04,Hard-Coded
rho,0.013365,Hard-Coded
roa_fraction,0.1191,Hard-Coded
decreasing_fraction,0.4476,Hard-Coded
roa_decreasing_fraction,0.1191,Hard-Coded
fraction_roa_decreasing_violation,0,Hard-Coded
rho,0.022442,Hard-Coded
roa_fraction,0.3672,Hard-Coded
decreasing_fraction,0.5035,Hard-Coded
roa_decreasing_fraction,0.3189,Hard-Coded
fraction_roa_decreasing_violation,0.1317,Hard-Coded
rho,0.022181,Hard-Coded
roa_fraction,0.6291,Hard-Coded
decreasing_fraction,0.624,Hard-Coded
roa_decreasing_fraction,0.4616,Hard-Coded
fraction_roa_decreasing_violation,0.2662,Hard-Coded
rho,0.022513,Hard-Coded
roa_fraction,0.1747,Hard-Coded
decreasing_fraction,0.7528,Hard-Coded
roa_decreasing_fraction,0.1109,Hard-Coded
fraction_roa_decreasing_violation,0.3651,Hard-Coded
rho,0.137826,Hard-Coded
roa_fraction,0.141,Hard-Coded
decreasing_fraction,0.4977,Hard-Coded
roa_decreasing_fraction,0.141,Hard-Coded
fraction_roa_decreasing_violation,0,Hard-Coded
rho,0.005138,Hard-Coded
roa_fraction,0.1067,Hard-Coded
decreasing_fraction,0.5966,Hard-Coded
roa_decreasing_fraction,0.1061,Hard-Coded
fraction_roa_decreasing_violation,0.005434393994,Hard-Coded
rho,0.022621,Hard-Coded
roa_fraction,0.3353,Hard-Coded
decreasing_fraction,0.4748,Hard-Coded
roa_decreasing_fraction,0.3046,Hard-Coded
fraction_roa_decreasing_violation,0.0913,Hard-Coded
rho,0.012386,Hard-Coded
roa_fraction,0.1732,Hard-Coded
decreasing_fraction,0.4649,Hard-Coded
roa_decreasing_fraction,0.1732,Hard-Coded
fraction_roa_decreasing_violation,0,Hard-Coded
rho,0.006233,Hard-Coded
roa_fraction,0.1437,Hard-Coded
decreasing_fraction,0.552,Hard-Coded
roa_decreasing_fraction,0.1418,Hard-Coded
fraction_roa_decreasing_violation,0.0131,Hard-Coded
rho,0.022774,Hard-Coded
roa_fraction,0.287,Hard-Coded
decreasing_fraction,0.4027,Hard-Coded
roa_decreasing_fraction,0.275,Hard-Coded
fraction_roa_decreasing_violation,0.0416,Hard-Coded
rho,0.023579,Hard-Coded
roa_fraction,0.0869,Hard-Coded
decreasing_fraction,0.9333,Hard-Coded
roa_decreasing_fraction,0.0361,Hard-Coded
fraction_roa_decreasing_violation,0.5849,Hard-Coded
rho,0.022673,Hard-Coded
roa_fraction,0.3761,Hard-Coded
decreasing_fraction,0.4905,Hard-Coded
roa_decreasing_fraction,0.3257,Hard-Coded
fraction_roa_decreasing_violation,0.134,Hard-Coded
rho,0.005475,Hard-Coded
roa_fraction,0.1294,Hard-Coded
decreasing_fraction,0.5341,Hard-Coded
roa_decreasing_fraction,0.1287,Hard-Coded
fraction_roa_decreasing_violation,0.005247022757,Hard-Coded
rho,0.014213,Hard-Coded
roa_fraction,0.1781,Hard-Coded
decreasing_fraction,0.4423,Hard-Coded
roa_decreasing_fraction,0.1781,Hard-Coded
fraction_roa_decreasing_violation,0,Hard-Coded
rho,0.023741,Hard-Coded
roa_fraction,0.3395,Hard-Coded
decreasing_fraction,0.4825,Hard-Coded
roa_decreasing_fraction,0.2918,Hard-Coded
fraction_roa_decreasing_violation,0.1406,Hard-Coded
rho,0.005202,Hard-Coded
roa_fraction,0.0967,Hard-Coded
decreasing_fraction,0.6156,Hard-Coded
roa_decreasing_fraction,0.0948,Hard-Coded
fraction_roa_decreasing_violation,0.019,Hard-Coded
rho,0.011811,Hard-Coded
roa_fraction,0.3305,Hard-Coded
decreasing_fraction,0.6263,Hard-Coded
roa_decreasing_fraction,0.2725,Hard-Coded
fraction_roa_decreasing_violation,0.1756,Hard-Coded
rho,0.002513,Hard-Coded
roa_fraction,0.0826,Hard-Coded
